hybrid_zone_id,msoa_zone_id,hybrid_to_msoa,msoa_to_hybrid
E01009833,E02002031,1,0.533921303
E01009870,E02002031,1,0.194708277
E01009835,E02002031,1,0.099389417
E01009368,E02001903,1,0.022690438
E01033650,E02001903,1,0.296056186
E01009371,E02001903,1,0.526202053
E01009397,E02001903,1,0.155051324
E01009105,E02001851,1,0.026364194
E01009098,E02001851,1,0.647455549
E01009100,E02001851,1,0.229920294
E01009009,E02001851,1,0.018393624
E01009005,E02001851,1,0.07786634
E01033062,E02006709,1,0.009139654
E01033243,E02006709,1,0.05045089
E01033060,E02006709,1,0.135632464
E01032166,E02006709,1,0.804776992
E01009838,E02002036,1,0.03236246
E01009831,E02002036,1,0.005933118
E01009837,E02002036,1,0.127292341
E01009836,E02002036,1,0.834412082
E01032258,E02006731,1,0.862792091
E01032256,E02006731,1,0.110245656
E01032257,E02006731,1,0.018573996
E01032260,E02006731,1,0.008388256
E01033649,E02001884,1,0.003331113
E01009198,E02001884,1,0.850766156
E01009197,E02001884,1,0.008660893
E01033647,E02001884,1,0.111925383
E01009195,E02001884,1,0.025316456
E01031183,E02006509,1,0.287966805
E01031186,E02006509,1,0.030152144
E01031185,E02006509,1,0.367634855
E01031184,E02006509,1,0.314246196
E01010055,E02002070,1,0.037964459
E01010056,E02002070,1,0.039579968
E01010060,E02002070,1,0.415185784
E01010054,E02002070,1,0.467689822
E01010057,E02002070,1,0.039579968
E01032259,E02006728,1,0.538156591
E01032271,E02006728,1,0.10604559
E01032270,E02006728,1,0.059464817
E01032272,E02006728,1,0.032705649
E01032269,E02006728,1,0.263627354
E01032373,E02006766,1,0.301034807
E01032348,E02006766,1,0.081373471
E01032372,E02006766,1,0.247412982
E01032347,E02006766,1,0.143932267
E01032413,E02006766,1,0.11335842
E01032412,E02006766,1,0.112888053
E01032476,E02006774,1,0.440597954
E01032478,E02006774,1,0.024390244
E01032477,E02006774,1,0.061369001
E01032474,E02006774,1,0.265932337
E01032475,E02006774,1,0.207710464
E01009410,E02001852,1,0.729270021
E01009126,E02001852,1,0.030474841
E01009408,E02001852,1,0.187810064
E01009409,E02001852,1,0.052445074
E01033621,E02001861,1,0.267857143
E01009059,E02001861,1,0.079081633
E01009057,E02001861,1,0.306122449
E01009060,E02001861,1,0.283163265
E01009050,E02001861,1,0.06377551
E01009087,E02001868,1,0.114779874
E01009089,E02001868,1,0.025943396
E01009085,E02001868,1,0.056603774
E01009084,E02001868,1,0.011792453
E01009090,E02001868,1,0.790880503
E01032224,E02006724,1,0.833059522
