lsoa_int_zone_id,msoa_zone_id,lsoa_int_to_msoa,msoa_to_lsoa_int
E01031242,E02006506,1,0.119257138
E01031241,E02006506,1,0.063678377
E01031240,E02006506,1,0.045294255
E01032470,E02006775,1,0.446752601
E01032471,E02006775,1,0.223021484
E01032469,E02006775,1,0.330225915
E01032146,E02006700,1,0.146279228
E01032177,E02006700,1,0.117613865
E01032178,E02006700,1,0.321987705
E01032134,E02006700,1,0.414119202
E01032404,E02006753,1,0.685528614
E01032399,E02006753,1,0.088278048
E01032400,E02006753,1,0.226193337
E01009986,E02002061,1,0.100365846
E01009987,E02002061,1,0.100556997
E01009989,E02002061,1,0.513731596
E01010106,E02002061,1,0.285345561
E01032251,E02006730,1,0.317241709
E01032252,E02006730,1,0.306290438
E01032250,E02006730,1,0.097507514
E01032254,E02006730,1,0.278960339
E01009947,E02002059,1,0.401979371
E01010105,E02002059,1,0.201267668
E01009993,E02002059,1,0.083113766
E01010103,E02002059,1,0.108876329
E01009992,E02002059,1,0.066838099
E01010104,E02002059,1,0.137924767
E01032305,E02006743,1,0.1744211
E01032309,E02006743,1,0.52571933
E01032306,E02006743,1,0.15874856
E01032307,E02006743,1,0.14111101
E01009934,E02002069,1,0.337810127
E01010004,E02002069,1,0.303085489
E01009936,E02002069,1,0.180009139
E01009935,E02002069,1,0.179095245
E01009007,E02001849,1,0.307333449
E01033632,E02001849,1,0.340234818
E01009006,E02001849,1,0.14587471
E01009002,E02001849,1,0.206557023
E01009520,E02001898,1,0.283945522
E01009324,E02001898,1,0.242917703
E01009312,E02001898,1,0.262025654
E01009519,E02001898,1,0.211111121
E01008995,E02006895,1,0.273657348
E01033640,E02006895,1,0.31442567
E01033626,E02006895,1,0.069668795
E01033624,E02006895,1,0.175794089
E01033557,E02006895,1,0.166454098
E01009863,E02002032,1,0.14291954
E01009809,E02002032,1,0.208848184
E01009813,E02002032,1,0.159033806
E01009861,E02002032,1,0.098659761
E01009868,E02002032,1,0.125124732
E01009862,E02002032,1,0.265413976
E01008917,E02001928,1,0.22203623
E01008923,E02001928,1,0.181542276
E01008928,E02001928,1,0.210727433
E01008927,E02001928,1,0.227411952
E01008925,E02001928,1,0.158282108
E01032365,E02006751,1,0.216083688
E01032358,E02006751,1,0.191769865
E01032367,E02006751,1,0.347805164
E01032357,E02006751,1,0.244341283
E01009104,E02001854,1,0.079284493
E01009102,E02001854,1,0.568687535
E01009008,E02001854,1,0.120824187
E01009011,E02001854,1,0.133441201
E01009012,E02001854,1,0.097762583
E01010210,E02002103,1,0.336788947
E01010208,E02002103,1,0.215292801
E01010217,E02002103,1,0.222835577
E01010211,E02002103,1,0.225082675
E01032304,E02006735,1,0.251756929
E01032331,E02006735,1,0.257593923
E01032332,E02006735,1,0.275041926
E01032303,E02006735,1,0.215607222
E01010075,E02002057,1,0.143574254
E01010076,E02002057,1,0.187064022
E01010068,E02002057,1,0.127808003
E01010070,E02002057,1,0.240086042
E01010067,E02002057,1,0.109144162
E01010066,E02002057,1,0.192323516
E01009824,E02002015,1,0.224466894
E01009749,E02002015,1,0.404876419
E01009750,E02002015,1,0.136706587
E01009823,E02002015,1,0.2339501
E01010077,E02002064,1,0.159952756
E01010080,E02002064,1,0.138650858
E01010081,E02002064,1,0.111813721
E01010082,E02002064,1,0.182954126
E01010079,E02002064,1,0.19871566
E01010083,E02002064,1,0.110037815
E01010084,E02002064,1,0.097875062
E01032235,E02006723,1,0.255840758
E01032234,E02006723,1,0.135180507
E01032233,E02006723,1,0.452537035
E01032232,E02006723,1,0.156441699
E01009725,E02002030,1,0.135417205
E01009834,E02002030,1,0.217387515
E01009726,E02002030,1,0.164235818
E01009721,E02002030,1,0.482959462
E01009482,E02001874,1,0.082489904
E01009485,E02001874,1,0.152399707
E01009479,E02001874,1,0.377902685
E01009478,E02001874,1,0.303468847
E01009484,E02001874,1,0.083738857
E01009783,E02002007,1,0.145715962
E01009779,E02002007,1,0.099336262
E01009900,E02002007,1,0.208009126
E01009782,E02002007,1,0.147114306
E01009785,E02002007,1,0.274653203
E01009899,E02002007,1,0.125171142
E01009177,E02001930,1,0.116950552
E01009178,E02001930,1,0.215337708
E01009189,E02001930,1,0.178915061
E01009179,E02001930,1,0.275547303
E01009175,E02001930,1,0.213249375
E01009496,E02001935,1,0.245607244
E01009497,E02001935,1,0.194612812
E01009506,E02001935,1,0.191744001
E01009494,E02001935,1,0.13356103
E01009504,E02001935,1,0.234474914
E01032168,E02006697,1,0.023081782
E01032137,E02006697,1,0.129498786
E01032176,E02006697,1,0.39874005
E01032136,E02006697,1,0.180986943
E01032169,E02006697,1,0.267692438
E01032194,E02006713,1,0.444894451
E01032196,E02006713,1,0.335993316
E01032195,E02006713,1,0.096448508
E01032197,E02006713,1,0.122663724
E01009034,E02001934,1,0.242108036
E01009035,E02001934,1,0.25856294
E01009032,E02001934,1,0.251647942
E01009036,E02001934,1,0.247681082
E01008980,E02001947,1,0.25409826
E01008976,E02001947,1,0.293277476
E01008979,E02001947,1,0.274428859
E01008978,E02001947,1,0.178195405
E01008882,E02001892,1,0.11873466
E01009341,E02001892,1,0.260087101
E01008898,E02001892,1,0.096311476
E01009326,E02001892,1,0.236085405
E01008896,E02001892,1,0.098375759
E01009513,E02001892,1,0.190405599
E01032449,E02006773,1,0.068616894
E01032467,E02006773,1,0.386505844
E01032468,E02006773,1,0.138423526
E01032465,E02006773,1,0.099865943
E01032466,E02006773,1,0.142345806
E01032464,E02006773,1,0.164241987
E01032359,E02006750,1,0.515700664
E01032361,E02006750,1,0.231003468
E01032360,E02006750,1,0.253295868
E01009394,E02001919,1,0.243396541
E01009389,E02001919,1,0.173894803
E01009185,E02001919,1,0.406136991
E01009390,E02001919,1,0.176571665
E01009268,E02001862,1,0.08321478
E01009274,E02001862,1,0.137122441
E01009351,E02001862,1,0.051951423
E01009349,E02001862,1,0.189463942
E01009272,E02001862,1,0.414273335
E01009354,E02001862,1,0.123974078
E01010015,E02002063,1,0.324674988
E01010072,E02002063,1,0.107497683
E01010073,E02002063,1,0.056290695
E01010016,E02002063,1,0.109764259
E01010018,E02002063,1,0.401772375
E01009263,E02001858,1,0.192995716
E01009056,E02001858,1,0.382627097
E01009265,E02001858,1,0.160017911
E01009049,E02001858,1,0.161938296
E01009264,E02001858,1,0.102420979
E01009278,E02006809,1,0.119906635
E01009276,E02006809,1,0.138086885
E01009279,E02006809,1,0.083229115
E01032591,E02006809,1,0.45190804
E01009267,E02006809,1,0.094670288
E01009262,E02006809,1,0.112199037
E01032318,E02006742,1,0.149815546
E01032320,E02006742,1,0.186750814
E01032322,E02006742,1,0.200111094
E01032319,E02006742,1,0.264127749
E01032321,E02006742,1,0.199194798
E01010027,E02002078,1,0.296509659
E01009923,E02002078,1,0.201975988
E01010026,E02002078,1,0.291770717
E01010024,E02002078,1,0.209743636
E01009328,E02006900,1,0.064728217
E01009335,E02006900,1,0.107499463
E01009327,E02006900,1,0.061841193
E01009200,E02006900,1,0.381087211
E01009332,E02006900,1,0.18504158
E01009333,E02006900,1,0.058937291
E01009344,E02006900,1,0.05737117
E01009331,E02006900,1,0.083493875
E01009160,E02001951,1,0.141221537
E01033633,E02001951,1,0.420449357
E01009157,E02001951,1,0.109252503
E01009155,E02001951,1,0.165695521
E01009161,E02001951,1,0.163381082
E01010042,E02002077,1,0.218768183
E01009956,E02002077,1,0.221514962
E01009933,E02002077,1,0.128547046
E01009955,E02002077,1,0.161954794
E01009952,E02002077,1,0.098268191
E01009959,E02002077,1,0.170946824
E01009110,E02001954,1,0.209453375
E01009115,E02001954,1,0.183404465
E01009113,E02001954,1,0.271407819
E01009114,E02001954,1,0.144806816
E01009107,E02001954,1,0.190927524
E01009080,E02001864,1,0.28262953
E01009079,E02001864,1,0.324567813
E01009083,E02001864,1,0.233226743
E01009081,E02001864,1,0.159575915
E01010178,E02002093,1,0.239702406
E01010175,E02002093,1,0.321540093
E01010174,E02002093,1,0.252586217
E01010177,E02002093,1,0.186171283
E01008965,E02001933,1,0.178468002
E01008966,E02001933,1,0.157723517
E01008953,E02001933,1,0.202999438
E01008964,E02001933,1,0.165344407
E01008963,E02001933,1,0.295464636
E01009751,E02002016,1,0.138982391
E01009841,E02002016,1,0.261939404
E01009752,E02002016,1,0.204880264
E01009753,E02002016,1,0.170164724
E01009754,E02002016,1,0.224033217
E01009909,E02002028,1,0.26607668
