lsoa_zone_id,msoa_zone_id,lsoa_to_msoa,msoa_to_lsoa
E01018870,E02003925,1,0.18044795
E01018871,E02003925,1,0.22059445
E01018873,E02003925,1,0.178053247
E01018869,E02003925,1,0.240878997
E01019061,E02003953,1,0.164668547
E01019063,E02003953,1,0.182299013
E01019060,E02003953,1,0.150652327
E01019065,E02003953,1,0.122708039
E01019064,E02003953,1,0.1950811
E01019062,E02003953,1,0.184590973
E01018826,E02003907,1,0.28559229
E01018851,E02003907,1,0.163596438
E01018852,E02003907,1,0.350982067
E01018825,E02003907,1,0.199829206
E01015157,E02003150,1,0.201398488
E01015151,E02003150,1,0.141149687
E01015155,E02003150,1,0.153508415
E01015153,E02003150,1,0.149117814
E01015172,E02003150,1,0.14578421
E01015158,E02003150,1,0.209041385
E01020148,E02004190,1,0.140424482
E01020176,E02004190,1,0.137586377
E01020177,E02004190,1,0.182625864
E01020157,E02004190,1,0.296643633
E01020160,E02004190,1,0.242719645
E01015264,E02003154,1,0.181742853
E01015262,E02003154,1,0.193067256
E01015265,E02003154,1,0.198591355
E01015266,E02003154,1,0.208810938
E01015263,E02003154,1,0.217787598
E01015202,E02003165,1,0.212099944
E01015205,E02003165,1,0.196939921
E01015206,E02003165,1,0.212942167
E01015204,E02003165,1,0.198343627
E01015203,E02003165,1,0.17967434
E01029305,E02006102,1,0.188294798
E01029298,E02006102,1,0.202312139
E01029304,E02006102,1,0.220231214
E01029307,E02006102,1,0.201734104
E01029297,E02006102,1,0.187427746
E01020242,E02004202,1,0.246968284
E01020245,E02004202,1,0.181553172
E01020241,E02004202,1,0.204524254
E01020244,E02004202,1,0.162546642
E01020240,E02004202,1,0.204407649
E01020186,E02004197,1,0.219574341
E01020171,E02004197,1,0.285971223
E01020185,E02004197,1,0.205635492
E01020187,E02004197,1,0.288818945
E01015091,E02003126,1,0.189797253
E01015092,E02003126,1,0.272727273
E01015093,E02003126,1,0.179463702
E01015094,E02003126,1,0.18940484
E01015090,E02003126,1,0.168606933
E01015215,E02003159,1,0.250866852
E01015218,E02003159,1,0.261962552
E01015216,E02003159,1,0.256067961
E01015214,E02003159,1,0.231102635
E01015034,E02003137,1,0.177070064
E01015033,E02003137,1,0.204076433
E01015038,E02003137,1,0.216433121
E01015036,E02003137,1,0.194522293
E01015101,E02003137,1,0.207898089
E01015259,E02003157,1,0.221047723
E01015260,E02003157,1,0.237991606
E01015257,E02003157,1,0.210632675
E01015258,E02003157,1,0.330327996
E01020037,E02004155,1,0.183894389
E01020036,E02004155,1,0.19049505
E01019986,E02004155,1,0.197755776
E01020039,E02004155,1,0.259669967
E01020040,E02004155,1,0.168184818
E01020002,E02004151,1,0.242835097
E01020005,E02004151,1,0.198412698
E01020003,E02004151,1,0.184964727
E01020004,E02004151,1,0.20271164
E01019992,E02004151,1,0.171075838
