lsoa_zone_id,msoa_zone_id,lsoa_to_msoa,msoa_to_lsoa
E01014632,E02003015,1,0.270032148
E01014633,E02003015,1,0.239681399
E01014634,E02003016,1,0.147006757
E01014635,E02003021,1,0.231573129
E01014636,E02003015,1,0.171224615
E01014637,E02003021,1,0.158425909
E01014638,E02003014,1,0.049110545
E01014639,E02003014,1,0.049140806
E01014640,E02003014,1,0.097033341
E01014641,E02003018,1,0.27341775
E01014642,E02003018,1,0.294615234
E01014643,E02003018,1,0.32150029
E01014644,E02003018,1,0.110466726
E01014645,E02003053,1,0.243855881
E01014646,E02003053,1,0.209026429
E01014647,E02003055,1,0.174323385
E01014648,E02003053,1,0.252153776
E01014649,E02003053,1,0.161641597
E01014650,E02003055,1,0.169578072
E01014651,E02003053,1,0.133322316
E01014653,E02006888,1,0.444898778
E01014654,E02006889,1,0.235930567
E01014655,E02006888,1,0.245258433
E01014658,E02006889,1,0.474963501
E01014659,E02003016,1,0.258198197
E01014660,E02003025,1,0.397623196
E01014661,E02003016,1,0.34351435
E01014662,E02003021,1,0.39485653
E01014663,E02003025,1,0.119666426
E01014664,E02003025,1,0.242062866
E01014665,E02003025,1,0.240647512
E01014666,E02003028,1,0.265504409
E01014667,E02003028,1,0.174928544
E01014668,E02003031,1,0.139833928
E01014669,E02003031,1,0.171553318
E01014670,E02003031,1,0.116137308
E01014671,E02003031,1,0.153553502
E01014672,E02003028,1,0.212064633
E01014673,E02003038,1,0.242198297
E01014674,E02003038,1,0.248708713
E01014675,E02003038,1,0.260477128
E01014676,E02003038,1,0.248615862
E01014677,E02003044,1,0.351494443
E01014678,E02003044,1,0.167271201
E01014679,E02003044,1,0.220754226
E01014680,E02003044,1,0.260480131
E01014681,E02003040,1,0.275895317
E01014682,E02003039,1,0.226264267
E01014683,E02003039,1,0.159798202
E01014684,E02003040,1,0.272639893
E01014685,E02003039,1,0.183751946
E01014686,E02003039,1,0.235455131
E01014687,E02003039,1,0.194730455
E01014688,E02003013,1,0.088647442
E01014689,E02003013,1,0.094835576
E01014690,E02003013,1,0.099038542
E01014691,E02003013,1,0.223710987
E01014692,E02003013,1,0.099381114
E01014693,E02003013,1,0.273853877
E01014694,E02003013,1,0.120532461
E01014695,E02003047,1,0.579747062
E01014696,E02003047,1,0.060909544
E01014698,E02003047,1,0.076712884
E01014699,E02003047,1,0.083120488
E01014700,E02003047,1,0.132413571
E01014701,E02003047,1,0.067096451
E01014702,E02003060,1,0.129515323
E01014703,E02003060,1,0.279479759
E01014704,E02003060,1,0.128930706
E01014705,E02003060,1,0.091917539
E01014706,E02003060,1,0.078331514
E01014707,E02003060,1,0.1124943
E01014708,E02003060,1,0.179330858
E01014709,E02003026,1,0.455071551
E01014710,E02003026,1,0.064774748
E01014711,E02003026,1,0.098875846
E01014712,E02003026,1,0.098910436
E01014713,E02003026,1,0.147515998
E01014714,E02003026,1,0.134851421
E01014715,E02003020,1,0.180831195
E01014716,E02003020,1,0.283484686
E01014717,E02003020,1,0.213623072
E01014718,E02003020,1,0.322061047
E01014719,E02003017,1,0.198870149
E01014720,E02003017,1,0.225667042
E01014721,E02003017,1,0.300803283
E01014722,E02003063,1,0.166429336
E01014723,E02003063,1,0.170012589
E01014725,E02003063,1,0.150808546
E01014726,E02003064,1,0.210156475
E01014727,E02003064,1,0.149863983
E01014729,E02003051,1,0.379994804
E01014730,E02003048,1,0.298234619
E01014731,E02003048,1,0.113104948
E01014732,E02003048,1,0.188091203
E01014733,E02003051,1,0.156767945
E01014734,E02003051,1,0.209654264
E01014735,E02003048,1,0.400569229
E01014736,E02003051,1,0.253582986
E01014737,E02003075,1,0.077922185
E01014738,E02003075,1,0.031422955
E01014739,E02003075,1,0.431854687
E01014740,E02003075,1,0.458800174
E01014741,E02003088,1,0.161033759
E01014742,E02003088,1,0.079582651
E01014744,E02003087,1,0.35576581
E01014745,E02003088,1,0.157402641
E01014746,E02003087,1,0.029821821
E01014747,E02003088,1,0.289865307
E01014748,E02003088,1,0.147954002
E01014749,E02003088,1,0.164161641
E01014750,E02003071,1,0.148577659
E01014751,E02003071,1,0.162736558
E01014752,E02003069,1,0.754357756
E01014753,E02003071,1,0.193568072
E01014754,E02003069,1,0.044756252
E01014755,E02003071,1,0.219913185
E01014756,E02003074,1,0.068814876
E01014757,E02003074,1,0.08190285
E01014758,E02003069,1,0.11995586
E01014759,E02003069,1,0.080930131
E01014760,E02003071,1,0.275204526
E01014761,E02003074,1,0.391988026
E01014762,E02003074,1,0.389880808
E01014763,E02003074,1,0.06741344
E01014764,E02003078,1,0.122185066
E01014765,E02003078,1,0.28162172
E01014766,E02003068,1,0.569911237
E01014767,E02003068,1,0.340039493
E01014769,E02003087,1,0.162804568
E01014770,E02003087,1,0.0342035
E01014771,E02003087,1,0.084713587
E01014772,E02003087,1,0.332690713
E01014773,E02003078,1,0.372932965
E01014774,E02003078,1,0.223260249
E01014775,E02003073,1,0.096143874
E01014776,E02003073,1,0.20371484
E01014777,E02003073,1,0.161610051
E01014778,E02003073,1,0.391063237
E01014779,E02003073,1,0.147468
E01014780,E02003072,1,0.041719783
E01014781,E02003072,1,0.043715461
E01014782,E02003072,1,0.086656225
E01014783,E02003072,1,0.109705231
E01014784,E02003072,1,0.037886436
E01014785,E02003072,1,0.680316864
E01014786,E02003068,1,0.017142666
E01014787,E02003068,1,0.072906604
E01014789,E02003066,1,0.298217702
E01014790,E02003065,1,0.30698319
E01014792,E02003067,1,0.254950801
E01014793,E02003066,1,0.259747773
E01014794,E02003066,1,0.248897519
