hybrid_zone_id,msoa_zone_id,hybrid_to_msoa,msoa_to_hybrid
E01032215,E02006720,1,0.152029416
E01032216,E02006720,1,0.216235327
E01032417,E02006754,1,0.261825215
E01032395,E02006754,1,0.231053279
E01032346,E02006754,1,0.242834535
E01032345,E02006754,1,0.26428697
E01009295,E02001925,1,0.276079929
E01009281,E02001925,1,0.217749045
E01009292,E02001925,1,0.24022921
E01009294,E02001925,1,0.265941816
E01032384,E02006762,1,0.259384097
E01032396,E02006762,1,0.251110771
E01032376,E02006762,1,0.241611767
E01032385,E02006762,1,0.247893366
E01009488,E02001877,1,0.197705803
E01009483,E02001877,1,0.175354251
E01009194,E02001877,1,0.287112011
E01009489,E02001877,1,0.177968961
E01009491,E02001877,1,0.161858974
E01032453,E02006772,1,0.274275196
E01032452,E02006772,1,0.235005369
E01032451,E02006772,1,0.224267526
E01032454,E02006772,1,0.26645191
E01032148,E02006703,1,0.148746968
E01032151,E02006703,1,0.19388305
E01032150,E02006703,1,0.198733495
E01032153,E02006703,1,0.228779305
E01032155,E02006703,1,0.229857181
E01032381,E02006764,1,0.323240589
E01032398,E02006764,1,0.290507365
E01032397,E02006764,1,0.386252046
E01032202,E02006716,1,0.266874028
E01032201,E02006716,1,0.240124417
E01032204,E02006716,1,0.262986003
E01032203,E02006716,1,0.230015552
E01032356,E02006756,1,0.17803634
E01032402,E02006756,1,0.26123685
E01032403,E02006756,1,0.329933057
E01032355,E02006756,1,0.230793752
E01008982,E02001905,1,0.14210871
E01009283,E02001905,1,0.128192534
E01033631,E02001905,1,0.567125082
E01008992,E02001905,1,0.162573674
E01008969,E02001943,1,0.246927027
E01008971,E02001943,1,0.264820289
E01008942,E02001943,1,0.240858877
E01008943,E02001943,1,0.247393807
E01032149,E02006701,1,0.193553114
E01032142,E02006701,1,0.334358974
E01032144,E02006701,1,0.273992674
E01032143,E02006701,1,0.198095238
E01008954,E02001939,1,0.217155978
E01008958,E02001939,1,0.258651796
E01009493,E02001939,1,0.29325898
E01008950,E02001939,1,0.230933246
E01031239,E02006506,1,0.273084144
E01031242,E02006506,1,0.268134494
E01031241,E02006506,1,0.236900495
E01031240,E02006506,1,0.221880867
E01032470,E02006775,1,0.422355091
E01032471,E02006775,1,0.279023418
E01032469,E02006775,1,0.298621491
E01032146,E02006700,1,0.260173231
E01032177,E02006700,1,0.261153783
E01032178,E02006700,1,0.195456774
E01032134,E02006700,1,0.283216212
E01032404,E02006753,1,0.365831708
E01032399,E02006753,1,0.290685466
E01032400,E02006753,1,0.343482826
E01009986,E02002061,1,0.235513111
E01009987,E02002061,1,0.231628359
E01009989,E02002061,1,0.275655552
E01010106,E02002061,1,0.257202978
E01032251,E02006730,1,0.26904085
E01032252,E02006730,1,0.217566961
E01032250,E02006730,1,0.202753255
E01032254,E02006730,1,0.310638935
E01009947,E02002059,1,0.200467878
E01010105,E02002059,1,0.132175634
E01009993,E02002059,1,0.177793774
E01010103,E02002059,1,0.179593306
E01009992,E02002059,1,0.152060464
E01010104,E02002059,1,0.157908944
E01032305,E02006743,1,0.249658314
E01032309,E02006743,1,0.246317388
E01032306,E02006743,1,0.228701595
E01032307,E02006743,1,0.275322703
E01009934,E02002069,1,0.216863991
E01010004,E02002069,1,0.248483973
E01009936,E02002069,1,0.223938781
E01009935,E02002069,1,0.310713254
E01009007,E02001849,1,0.218204334
E01033632,E02001849,1,0.362229102
E01009006,E02001849,1,0.194055728
E01009002,E02001849,1,0.225510836
E01009520,E02001898,1,0.270869634
E01009324,E02001898,1,0.264850309
E01009312,E02001898,1,0.244257881
E01009519,E02001898,1,0.220022176
E01008995,E02006895,1,0.278502138
E01033640,E02006895,1,0.14770001
E01033626,E02006895,1,0.147282779
E01033624,E02006895,1,0.150620632
E01033557,E02006895,1,0.27589444
E01009863,E02002032,1,0.197667581
E01009809,E02002032,1,0.162975304
E01009813,E02002032,1,0.15493924
E01009861,E02002032,1,0.15503724
E01009868,E02002032,1,0.151901215
E01009862,E02002032,1,0.17747942
E01008917,E02001928,1,0.190288138
E01008923,E02001928,1,0.206815855
E01008928,E02001928,1,0.222612257
E01008927,E02001928,1,0.207985959
E01008925,E02001928,1,0.172297791
E01032365,E02006751,1,0.289950856
E01032358,E02006751,1,0.247585155
E01032367,E02006751,1,0.274190815
E01032357,E02006751,1,0.188273174
E01009104,E02001854,1,0.21012465
E01009102,E02001854,1,0.194352582
E01009008,E02001854,1,0.189392012
E01009011,E02001854,1,0.231111676
E01009012,E02001854,1,0.175019079
E01010210,E02002103,1,0.243631087
E01010208,E02002103,1,0.254111577
E01010217,E02002103,1,0.271364076
E01010211,E02002103,1,0.23089326
E01032304,E02006735,1,0.279305889
E01032331,E02006735,1,0.256045782
E01032332,E02006735,1,0.220601809
E01032303,E02006735,1,0.24404652
E01010075,E02002057,1,0.149558331
E01010076,E02002057,1,0.179713677
E01010068,E02002057,1,0.175144685
E01010070,E02002057,1,0.167428165
E01010067,E02002057,1,0.164179104
E01010066,E02002057,1,0.163976038
E01009824,E02002015,1,0.259385138
E01009749,E02002015,1,0.301869303
E01009750,E02002015,1,0.232504248
E01009823,E02002015,1,0.20624131
E01010077,E02002064,1,0.129579049
E01010080,E02002064,1,0.154884319
E01010081,E02002064,1,0.12749036
E01010082,E02002064,1,0.197140103
E01010079,E02002064,1,0.120420951
E01010083,E02002064,1,0.139620823
E01010084,E02002064,1,0.130864396
E01032235,E02006723,1,0.205878976
E01032234,E02006723,1,0.215983465
E01032233,E02006723,1,0.38994144
E01032232,E02006723,1,0.188196119
E01009725,E02002030,1,0.226223033
E01009834,E02002030,1,0.238985111
E01009726,E02002030,1,0.202673959
E01009721,E02002030,1,0.332117897
E01009482,E02001874,1,0.178765432
E01009485,E02001874,1,0.195259259
E01009479,E02001874,1,0.241382716
E01009478,E02001874,1,0.200987654
E01009484,E02001874,1,0.183604938
E01009783,E02002007,1,0.159863946
E01009779,E02002007,1,0.152073733
E01009900,E02002007,1,0.154926487
E01009782,E02002007,1,0.209128813
E01009785,E02002007,1,0.168861093
E01009899,E02002007,1,0.155145929
E01009177,E02001930,1,0.199824385
E01009178,E02001930,1,0.199573507
E01009189,E02001930,1,0.194932263
E01009179,E02001930,1,0.216006021
E01009175,E02001930,1,0.189663823
E01009496,E02001935,1,0.18185241
E01009497,E02001935,1,0.224899598
E01009506,E02001935,1,0.192645582
E01009494,E02001935,1,0.213980924
E01009504,E02001935,1,0.186621486
E01032168,E02006697,1,0.149462366
E01032137,E02006697,1,0.21827957
E01032176,E02006697,1,0.300806452
E01032136,E02006697,1,0.18077957
E01032169,E02006697,1,0.150672043
E01032194,E02006713,1,0.24490431
E01032196,E02006713,1,0.255951455
E01032195,E02006713,1,0.252528396
E01032197,E02006713,1,0.246615839
E01009034,E02001934,1,0.242151826
E01009035,E02001934,1,0.267694064
E01009032,E02001934,1,0.268407534
E01009036,E02001934,1,0.221746575
E01008980,E02001947,1,0.263521104
E01008976,E02001947,1,0.256780613
E01008979,E02001947,1,0.256459637
E01008978,E02001947,1,0.223238645
E01008882,E02001892,1,0.166093503
E01009341,E02001892,1,0.158471977
E01008898,E02001892,1,0.159494377
E01009326,E02001892,1,0.189980481
E01008896,E02001892,1,0.152523469
E01009513,E02001892,1,0.173436193
E01032449,E02006773,1,0.181904199
E01032467,E02006773,1,0.141336487
E01032468,E02006773,1,0.133412182
E01032465,E02006773,1,0.183560024
E01032466,E02006773,1,0.17457126
