lsoa_zone_id,msoa_zone_id,lsoa_to_msoa,msoa_to_lsoa
E01018765,E02003898,1,0.338544799
E01018757,E02003898,1,0.220084185
E01018785,E02003898,1,0.333132892
E01018763,E02003898,1,0.108238124
E01018822,E02003909,1,0.042942897
E01018857,E02003909,1,0.024241958
E01018819,E02003909,1,0.394951516
E01018856,E02003909,1,0.014391258
E01018855,E02003909,1,0.511389872
E01018858,E02003909,1,0.0120825
E01018827,E02003913,1,0.172413793
E01018829,E02003913,1,0.500257334
E01018830,E02003913,1,0.156973752
E01018828,E02003913,1,0.170355121
E01018794,E02003899,1,0.020356234
E01018790,E02003899,1,0.562340967
E01018788,E02003899,1,0.216284987
E01018786,E02003899,1,0.201017812
E01019016,E02003961,1,0.012008005
E01019015,E02003961,1,0.03335557
E01019014,E02003961,1,0.013008672
E01019017,E02003961,1,0.417611741
E01019013,E02003961,1,0.524016011
E01018894,E02003922,1,0.023908684
E01018897,E02003922,1,0.579515656
E01018896,E02003922,1,0.006941231
E01018898,E02003922,1,0.002005244
E01018895,E02003922,1,0.387629184
E01018949,E02003935,1,0.005869923
E01018948,E02003935,1,0.08710965
E01018947,E02003935,1,0.507630899
E01018946,E02003935,1,0.14087814
E01018950,E02003935,1,0.258511388
E01018872,E02003925,1,0.221774194
E01018870,E02003925,1,0.022177419
E01018871,E02003925,1,0.334677419
E01018873,E02003925,1,0.096774194
E01018869,E02003925,1,0.324596774
E01019061,E02003953,1,0.046465449
E01019063,E02003953,1,0.22319301
E01019060,E02003953,1,0.348689436
E01019065,E02003953,1,0.135623511
E01019064,E02003953,1,0.083002383
E01019062,E02003953,1,0.163026211
E01018826,E02003907,1,0.223361569
E01018851,E02003907,1,0.18724922
E01018852,E02003907,1,0.310298707
E01018825,E02003907,1,0.279090504
E01015157,E02003150,1,0.262846465
E01015151,E02003150,1,0.004204298
E01015155,E02003150,1,0.200093429
E01015153,E02003150,1,0.090781688
E01015172,E02003150,1,0.094830271
E01015158,E02003150,1,0.347243849
E01020148,E02004190,1,0.095006935
E01020176,E02004190,1,0.124479889
E01020177,E02004190,1,0.055131761
E01020157,E02004190,1,0.48370319
E01020160,E02004190,1,0.241678225
E01015264,E02003154,1,0.05721393
E01015262,E02003154,1,0.164179104
E01015265,E02003154,1,0.121890547
E01015266,E02003154,1,0.094527363
E01015263,E02003154,1,0.562189055
E01015202,E02003165,1,0.15
E01015205,E02003165,1,0.076470588
E01015206,E02003165,1,0.138235294
E01015204,E02003165,1,0.470588235
E01015203,E02003165,1,0.164705882
E01029305,E02006102,1,0.051813472
E01029298,E02006102,1,0.47357513
E01029304,E02006102,1,0.29015544
E01029307,E02006102,1,0.019689119
E01029297,E02006102,1,0.164766839
E01020242,E02004202,1,0.211480363
E01020245,E02004202,1,0.160624371
E01020241,E02004202,1,0.466263847
E01020244,E02004202,1,0.057401813
E01020240,E02004202,1,0.104229607
E01020186,E02004197,1,0.18452381
E01020171,E02004197,1,0.275510204
E01020185,E02004197,1,0.172619048
E01020187,E02004197,1,0.367346939
E01015091,E02003126,1,0.042363767
E01015092,E02003126,1,0.793200287
E01015093,E02003126,1,0.000537763
E01015094,E02003126,1,0.043678298
E01015090,E02003126,1,0.120219885
E01015215,E02003159,1,0.139896373
